 LUIZ PASCHOAL,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.148,45",09/2018
 LUIZ PASCHOAL,INTERMEDIADO - REPROGRAFIA (XEROX/ENCADERNAÇÃO),CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"0,21",09/2018
