 ISA PENNA,COMPOSI플O/ARTE/DIAGRAMA플O/PRODU플O/IMPRESSAO GRAFICA,FORMA CERTA GRAFICA  DIGITAL LTDA,07.691.829/0001-27,"6.400,00",03/2017
 ISA PENNA,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,"811,40",03/2017
 ISA PENNA,COMPOSI플O/ARTE/DIAGRAMA플O/PRODU플O/IMPRESSAO GRAFICA,DUOGRAPH COMUNICA플O VISUAL LTDA,10.298.481/0001-17,"345,00",04/2017
 ISA PENNA,REPROGRAFIA (XEROX/ENCADERNA플O),COPIART IMPRESSOES DIGITAIS LTDA,66.864.976/0001-10,"200,00",04/2017
